Url,Status,Name,Organisation,Address,City,State,Zip Code,Country,E-mails,Domain,Alexa Rank,Registrar,Time
https://www.analyticsvidhya.com/blog/2020/05/6-open-source-data-science-projects-try-home/,Legitimate,ANALYTICSVIDHYA.COM,None,E-13/39 First Floor DLF Phase 1,Gurgaon,Haryana,122002,IN,abuse-contact@publicdomainregistry.comkunalj101@gmail.com,ANALYTICSVIDHYA.COM,8586,PDR Ltd. d/b/a PublicDomainRegistry.com,2020-05-21 13:38:17.342432
https://www.google.com,Legitimate,GOOGLE.COMgoogle.com,Google LLC,None,None,CA,None,US,abusecomplaints@markmonitor.comwhoisrequest@markmonitor.com,GOOGLE.COMgoogle.com,1,MarkMonitor Inc.,2020-05-21 14:14:34.353434
https://www.phishtank.com/phish_archive.php,Legitimate,PHISHTANK.COM,Cisco Technologies Inc.,135 Bluxome Street,San Francisco,California,94107,US,abuse-contact@publicdomainregistry.comhostmaster@opendns.com,PHISHTANK.COM,46336,PDR Ltd. d/b/a PublicDomainRegistry.com,2020-05-21 15:25:23.021790
https://www.phishtank.com/phish_archive.php,Legitimate,PHISHTANK.COM,Cisco Technologies Inc.,135 Bluxome Street,San Francisco,California,94107,US,abuse-contact@publicdomainregistry.comhostmaster@opendns.com,PHISHTANK.COM,46336,PDR Ltd. d/b/a PublicDomainRegistry.com,2020-05-21 15:25:24.642714
https://www.phishtank.com/phish_archive.php,Legitimate,PHISHTANK.COM,Cisco Technologies Inc.,135 Bluxome Street,San Francisco,California,94107,US,abuse-contact@publicdomainregistry.comhostmaster@opendns.com,PHISHTANK.COM,46336,PDR Ltd. d/b/a PublicDomainRegistry.com,2020-05-21 15:25:26.084460
https://www.w3schools.com/howto/howto_css_image_center.asp,Legitimate,W3SCHOOLS.COM,None,5335 Gate Parkway care of Network Solutions PO Box 459,Jacksonville,FL,32256,US,abuse@web.comfq4ag8de6dw@networksolutionsprivateregistration.comd479b4mp5hd@networksolutionsprivateregistration.com,W3SCHOOLS.COM,167,Network Solutions LLC,2020-05-21 15:34:11.381787
https://www.w3schools.com/howto/howto_css_image_center.asp,Legitimate,W3SCHOOLS.COM,None,5335 Gate Parkway care of Network Solutions PO Box 459,Jacksonville,FL,32256,US,abuse@web.comfq4ag8de6dw@networksolutionsprivateregistration.comd479b4mp5hd@networksolutionsprivateregistration.com,W3SCHOOLS.COM,167,Network Solutions LLC,2020-05-21 15:34:14.131037
http://mudv9.eu-gb.cf.appdomain.cloud/result?url=https://www.grofers.com,Legitimate,GROFERS.COM,None,None,None,Haryana,None,IN,abuse@godaddy.com,GROFERS.COM,120165,GoDaddy.com LLC,2020-05-21 15:34:15.396248
http://mudv9.eu-gb.cf.appdomain.cloud/result?url=https://www.grofers.com,Legitimate,GROFERS.COM,None,None,None,Haryana,None,IN,abuse@godaddy.com,GROFERS.COM,120165,GoDaddy.com LLC,2020-05-21 15:34:16.527272
https://mdbootstrap.com/pricing/jquery/bundle/,Legitimate,MDBOOTSTRAP.COMmdbootstrap.com,StartupFlow Dawid Adach Michał Szymański s.c.,None,None,None,None,PL,abuse@ovh.net1z0q7vc29r6xs0cs1yht@v.o-w-o.infoqu3p9xwwagt340fik60m@u.o-w-o.info,MDBOOTSTRAP.COMmdbootstrap.com,11053,OVH SAS,2020-05-21 15:34:19.138844
https://www.mongodb.com/cloud/atlas/pricing,Legitimate,MONGODB.COMmongodb.com,10gen inc,63-65 boulevard Massena,Paris,Paris,75013,FR,abuse@support.gandi.net4856413997f30e027a982744d4fa88e6-1758069@contact.gandi.net,MONGODB.COMmongodb.com,4171,GANDI SAS,2020-05-21 15:34:20.880379
